Change_id,member_id,source_type,change_type,reason_type,old_member_level_id,new_member_level_id,remark,member_no,source_type_name,change_type_name,reason_type_name,old_member_level_name,new_member_level_name,Date
Change_id,member_id,source_type,change_type,reason_type,old_member_level_id,new_member_level_id,,PL011,System,Upgrade,Normal Point Change,Normal,No.1,2015-01-01 00:00:00.000
Change_id,member_id,source_type,change_type,reason_type,old_member_level_id,new_member_level_id,,MC0001,System,Upgrade,Normal Point Change,No.1,Platinum,2015-01-01 00:00:00.000
Change_id,member_id,source_type,change_type,reason_type,old_member_level_id,new_member_level_id,,MC0002,System,Upgrade,Normal Point Change,Normal,No.1,2015-01-01 00:00:00.000
Change_id,member_id,source_type,change_type,reason_type,old_member_level_id,new_member_level_id,,MC0003,System,Upgrade,Normal Point Change,Normal,No.1,2015-01-01 00:00:00.000
Change_id,member_id,source_type,change_type,reason_type,old_member_level_id,new_member_level_id,,MC0004,System,Upgrade,Normal Point Change,Normal,No.1,2015-01-01 00:00:00.000
Change_id,member_id,source_type,change_type,reason_type,old_member_level_id,new_member_level_id,,MC0005,System,Upgrade,Normal Point Change,Normal,No.1,2015-01-01 00:00:00.000
Change_id,member_id,source_type,change_type,reason_type,old_member_level_id,new_member_level_id,,MC0006,System,Upgrade,Normal Point Change,Normal,No.1,2015-01-01 00:00:00.000
Change_id,member_id,source_type,change_type,reason_type,old_member_level_id,new_member_level_id,,MC0007,System,Upgrade,Normal Point Change,Normal,No.1,2015-01-01 00:00:00.000
Change_id,member_id,source_type,change_type,reason_type,old_member_level_id,new_member_level_id,,MC0001,System,Upgrade,Normal Point Change,Normal,No.1,2015-01-01 00:00:00.000
Change_id,member_id,source_type,change_type,reason_type,old_member_level_id,new_member_level_id,,MC0002,System,Upgrade,Normal Point Change,Normal,No.1,2015-01-01 00:00:00.000
Change_id,member_id,source_type,change_type,reason_type,old_member_level_id,new_member_level_id,,MC0003,System,Upgrade,Normal Point Change,Normal,No.1,2015-01-01 00:00:00.000
Change_id,member_id,source_type,change_type,reason_type,old_member_level_id,new_member_level_id,,MC0004,System,Upgrade,Normal Point Change,Normal,No.1,2015-01-01 00:00:00.000
Change_id,member_id,source_type,change_type,reason_type,old_member_level_id,new_member_level_id,,MC0005,System,Upgrade,Normal Point Change,Normal,No.1,2015-01-01 00:00:00.000
Change_id,member_id,source_type,change_type,reason_type,old_member_level_id,new_member_level_id,,MC0006,System,Upgrade,Normal Point Change,Normal,No.1,2015-01-01 00:00:00.000
Change_id,member_id,source_type,change_type,reason_type,old_member_level_id,new_member_level_id,,MC0007,System,Upgrade,Normal Point Change,Normal,No.1,2015-01-01 00:00:00.000
Change_id,member_id,source_type,change_type,reason_type,old_member_level_id,new_member_level_id,,MC0001,System,Upgrade,Normal Point Change,Normal,No.1,2015-01-01 00:00:00.000
Change_id,member_id,source_type,change_type,reason_type,old_member_level_id,new_member_level_id,,MC0002,System,Upgrade,Normal Point Change,Normal,No.1,2015-01-01 00:00:00.000
Change_id,member_id,source_type,change_type,reason_type,old_member_level_id,new_member_level_id,,MC0003,System,Upgrade,Normal Point Change,Normal,No.1,2015-01-01 00:00:00.000
Change_id,member_id,source_type,change_type,reason_type,old_member_level_id,new_member_level_id,,MC0004,System,Upgrade,Normal Point Change,Normal,No.1,2015-01-01 00:00:00.000
